commune,YearMonth,ndvi,PC1_Score
5,2020-11,0.2702727956091159,-0.6070750004298608
5,2020-12,0.2638142584437474,-0.3702822800935832
5,2021-01,0.27851019369661767,-0.0543681168645781
5,2021-02,0.36431830884132743,-0.3628929914946899
5,2021-03,0.5007479482852928,0.4738747063724438
5,2021-04,0.5590933943947307,0.4453858711762137
5,2021-05,0.5054667207925289,0.6317308897731067
5,2021-06,0.4769784254738265,0.6358792180387857
5,2021-07,0.4593846316133133,0.4991233099066954
5,2021-08,0.42833223562805833,0.3581861801033815
5,2021-09,0.37438464795307647,0.2985622452614972
5,2021-10,0.3372446447633735,0.2013251399141949
5,2021-11,0.3105945450672555,0.2134602808239157
5,2021-12,0.30052777360112526,0.4988613903015876
5,2022-01,0.41457865988836595,0.4815545875507614
5,2022-02,0.5463447821891632,0.3833638362041969
6,2018-07,0.3714506529850744,-0.5094252082891921
6,2018-08,0.33187043946932004,-0.4040624123912981
6,2018-09,0.33281577010779406,-0.4033168911188644
6,2018-10,0.3820758602819239,-0.6602515052598167
6,2018-11,0.4293226523631842,-0.633971013644602
6,2018-12,0.3926829031923721,-0.6548445318090105
6,2019-01,0.5118284463101158,0.3732107253132146
6,2019-02,0.6094574367744618,0.5514487821551368
6,2019-03,0.6185201544361525,0.6890531020537256
6,2019-04,0.5699870594941953,0.4802896181520261
6,2019-05,0.5573712893864016,0.5014422781268126
6,2019-06,0.555291112147595,0.3721033550015522
6,2019-07,0.5126037365257046,0.3365865743694782
6,2019-09,0.412821735074627,-0.1160449084551278
6,2019-10,0.428161691542288,-0.3519472663677325
6,2019-11,0.4479866086235488,-0.2259047532139217
6,2019-12,0.4760496216832507,-0.30231476253134
6,2020-01,0.4281988909618579,-0.2798347178392623
6,2020-02,0.3964834266169156,-0.3482571919150478
6,2020-03,0.48053902881426164,-0.0703101363780092
6,2020-04,0.49477693304311765,0.1435018173400713
6,2020-05,0.45260718801824196,-0.3804243781301986
6,2020-06,0.4109272077114427,-0.3492556107874599
6,2020-07,0.3815172781923717,-0.5995871268303204
6,2020-08,0.3384910395936982,-0.6083633859260086
6,2020-09,0.3006376502902154,-0.8865259860371304
6,2020-10,0.27704941956882256,-0.6695244638391011
6,2020-11,0.2683455431177448,-0.7768302987239841
6,2020-12,0.2645595615671642,-0.5965430213137769
6,2021-01,0.27950926098673307,-0.2139593541000312
6,2021-02,0.3369127228441128,-0.43259664668975
6,2021-03,0.4798333488805966,0.2471946269902953
6,2021-04,0.551503430762852,0.3248102015280927
6,2021-05,0.5043742278192369,0.6300368953222046
6,2021-06,0.47954413349917124,0.6943754487395252
6,2021-07,0.45341615360696524,0.3763719821781644
6,2021-08,0.40098020833333325,0.3397473893022061
6,2021-09,0.3490245802238805,0.2776420048768644
6,2021-10,0.3178951596185742,0.2250149500873315
6,2021-11,0.2981836183665007,0.2768340798204399
6,2021-12,0.29668844320066357,0.5727209759967767
6,2022-01,0.4306090640547262,0.5482180877068619
6,2022-02,0.5461262489635155,0.3450923566718524
