c3_evi_time,c3_mean_evi
733155,0.27978148441627
733171,0.335344251354566
733187,0.336738184351981
733203,0.32808015095339
733219,0.330677707683113
733235,0.302348169684155
733251,0.272713942403178
733267,0.259475511555526
733283,0.227234748728786
733299,0.212593843615968
733315,0.199966682085508
733331,0.20510561382677
733347,0.205569884450314
733363,0.24828342154009
733379,0.28658680518793
733395,0.241790056235528
733408,0.259915402921928
733424,0.272626595744681
733440,0.247267278610579
733456,0.300918579740809
733472,0.347233133931539
733488,0.356941131700861
733504,0.393143836252654
733520,0.368211838707541
733536,0.336488984338863
733552,0.341442277443659
733568,0.334104106694838
733584,0.308824929028851
733600,0.29089624983494
733616,0.259086701881809
733632,0.23936116318986
733648,0.218732424382818
733664,0.225586235379634
733680,0.202575228325612
733696,0.195787259346869
733712,0.192994954068242
733728,0.205901219672996
733744,0.195290388047861
733760,0.178136186284814
733774,0.186896897894528
733790,0.236231676361713
733806,0.275298290373488
733822,0.26270982449195
733838,0.31458515171504
733854,0.357675273855087
733870,0.366557208933527
733886,0.347356835342429
733902,0.353871462560306
733918,0.325649085729429
733934,0.305636645468999
733950,0.301105883905013
733966,0.283582497190825
733982,0.266900788444974
733998,0.290652389766643
734014,0.265390814113937
734030,0.234476733780761
734046,0.234394155542272
734062,0.207322261716693
734078,0.211143842950625
734094,0.197723950551993
734110,0.210690148075025
734126,0.23923289386948
734139,0.258165197538217
734155,0.270300558953114
734171,0.238283788622198
734187,0.247874112582782
734203,0.257687705243644
734219,0.266147688853672
734235,0.263129768058317
734251,0.239846973301612
734267,0.237796033733035
734283,0.257740219475111
734299,0.286692086426298
734315,0.302103969354732
734331,0.316888334434898
734347,0.319509291859695
734363,0.272958712746977
734379,0.269347198361306
734395,0.280922976725734
734411,0.256233357562942
734427,0.235636412828297
734443,0.209002684297521
734459,0.199272741732388
734475,0.211713850707005
734491,0.272414862905351
734504,0.281135763338616
734520,0.259981682478604
734536,0.395283734620982
734552,0.373287604070305
734568,0.364139242843952
734584,0.358234302171611
734600,0.30887192947702
734616,0.394074598983431
734632,0.388486064005279
734648,0.372754746355301
734664,0.382148746278531
734680,0.365590022495699
734696,0.361931346432811
734712,0.329462294645826
734728,0.318453391120228
734744,0.331915264756371
734760,0.326537655581166
734776,0.314513717367003
734792,0.289664384651071
734808,0.284367030495469
734824,0.252304345806794
734840,0.262908024895716
734856,0.297858129087666
734869,0.341547637951568
734885,0.343268839050131
734901,0.397986907270811
734917,0.381108452199297
734933,0.343517403954242
734949,0.349894006996238
734965,0.363458351481556
734981,0.374088097450876
734997,0.341405661124307
735013,0.329636997620307
735029,0.333412546271814
735045,0.286715373420652
735061,0.267478535453943
735077,0.267071144442976
735093,0.254257644491469
735109,0.232127744023247
735125,0.244584348628692
735141,0.238056747130985
735157,0.243307774038144
735173,0.283472872164539
735189,0.290817868690201
735205,0.266979292431117
735221,0.318412890086065
735235,0.332567149440422
735251,0.321460902106239
735267,0.369477411469345
735283,0.401584592946168
735299,0.367039438484969
735315,0.319928707375099
735331,0.348457791735537
735347,0.293257867213875
735363,0.274274980095541
735379,0.275415246518382
735395,0.248441632518176
735411,0.237851295268306
735427,0.239514874005305
735443,0.229689762738748
735459,0.220096241991942
735475,0.213057452574526
735491,0.193032158183138
735507,0.181179059010111
735523,0.184360256410256
735539,0.202396768010575
735555,0.216697279630241
735571,0.207935020175961
735587,0.192487145695364
735600,0.209831427062009
735616,0.338543620883111
735632,0.31818463773859
735648,0.368943086795449
735664,0.360893849703362
735680,0.319830959609292
735696,0.294067209655081
735712,0.277295302233903
735728,0.272649996693778
735744,0.294765695557174
735760,0.272138157894737
735776,0.262936777213688
735792,0.260586258584257
735808,0.256718884430704
735824,0.225744742404228
735840,0.224001645602949
735856,0.212052700013268
735872,0.198166195601928
735888,0.192464266385057
735904,0.193765933046072
735920,0.197467847016156
735936,0.290554621017217
735952,0.311191191026064
735965,0.263717501321353
735981,0.251495262983791
735997,0.306823823995772
736013,0.345443833895391
736029,0.345870960915283
736045,0.311546446313837
736061,0.278509025485276
736077,0.277187122363985
736093,0.256829130262113
736109,0.251399821404948
736125,0.248762647504779
736141,0.250209373964889
736157,0.221149022457067
736173,0.230837366429947
736189,0.204906090969018
736205,0.193784902909404
736221,0.187974016111991
736237,0.182690069847127
736253,0.186589214459736
736269,0.226573491833509
736285,0.227568306334782
736301,0.212148803638521
736317,0.233714738237243
736330,0.211695460561143
736346,0.209147521208907
736362,0.20286775988869
736378,0.211791896347093
736394,0.200312789693871
736410,0.233275446605796
736426,0.227619872687487
736442,0.205875016545334
736458,0.201351357241926
736474,0.206375071177911
736490,0.202988722053182
736506,0.194292116566444
736522,0.204366199696029
736538,0.200237783375315
736554,0.203481738268341
736570,0.189650705531633
736586,0.178053123342175
736602,0.179189453176595
736618,0.182254715732345
736634,0.168642593572279
736650,0.168374359313078
736666,0.187640734358431
736682,0.216602514596603
736696,0.251992159331919
736712,0.247545233546347
736728,0.282761410349614
736744,0.317473013255952
736760,0.351361102613553
736776,0.348987544648763
736792,0.365913175430494
736808,0.322218427144653
736824,0.294647418675095
736840,0.29558760689383
736856,0.332444815721564
736872,0.302309316482498
736888,0.28101368866552
736904,0.271653951277481
736920,0.250696564327485
736936,0.237630615475955
736952,0.204538334767357
736968,0.199360816083592
736984,0.190433613942782
737000,0.186597174056916
737016,0.190885026281209
737032,0.202364499074808
737048,0.241027782906885
737061,0.28475286855483
737077,0.242714994692144
737093,0.257794051160024
737109,0.27326028012685
737125,0.225459904661017
737141,0.21482108816521
737157,0.203156600158562
737173,0.204797569858297
737189,0.199705199364154
737205,0.191117248228829
737221,0.202264235698243
737237,0.205380850923483
737253,0.200570007286216
737269,0.216039397542608
737285,0.203627385590702
737301,0.188401053677932
737317,0.187603485608661
737333,0.18187748028365
737349,0.229113173414618
737365,0.243154012487677
737381,0.220396109900271
737397,0.221561025912216
737413,0.232090406784152
737426,0.209175640092624
737442,0.303148898590991
737458,0.360158435239973
737474,0.35240684077953
737490,0.377899940535183
737506,0.335877326699834
737522,0.345027409718534
737538,0.32246271410621
737554,0.301564633582238
737570,0.29449946502873
737586,0.295202923976608
737602,0.288746223863861
737618,0.280189083949313
737634,0.287237626513197
737650,0.261705452865065
737666,0.246890110398625
737682,0.225644906610147
737698,0.266033954012325
737714,0.30967892788684
737730,0.269447618103733
737746,0.31221138232953
737762,0.303654588095395
737778,0.328037930807682
737791,0.268118790482485
737807,0.242094406656541
737823,0.234994821086051
737839,0.228393915466791
737855,0.30354598308668
737871,0.256534908032288
737887,0.27108030651845
737903,0.245472923731631
737919,0.258276627845421
737935,0.224902204713983
737951,0.21538402891883
737967,0.224065758961108
737983,0.204517218543046
737999,0.196657399933841
738015,0.199683221610141
738031,0.185010527359239
738047,0.183780462198745
738063,0.177059534729146
738079,0.183139498909235
738095,0.166731089318844
738111,0.163018644292631
738127,0.161557985306771
738143,0.159555222799974
738157,0.154071139123548
